Year,Total_Population,Elderly_Percent,GDP,Fertility_Rate
1990,123478000.0,12.1592371434388,3185904656663.85,1.54
1991,123964000.0,12.6426627429561,3648065760648.88,1.53
1992,124425000.0,13.14609994239,3980702922117.66,1.5
1993,124829000.0,13.6451471731511,4536940479038.25,1.46
1994,125178000.0,14.1471706843512,4998797547740.97,1.5
1995,125472000.0,14.6600917550368,5545563663889.7,1.42
1996,125757000.0,15.2014638551928,4923391533851.63,1.43
1997,126057000.0,15.7647990694307,4492448605638.94,1.39
1998,126400000.0,16.31972118413,4098362709531.24,1.38
1999,126631000.0,16.8685596811724,4635982224063.88,1.34
2000,126843000.0,17.4418311728625,4968359075956.59,1.36
2001,127149000.0,18.0343083523681,4374711694090.87,1.33
2002,127445000.0,18.5996931174384,4182846045873.61,1.32
2003,127718000.0,19.094589199668,4519561645253.53,1.29
2004,127761000.0,19.6215781629582,4893116005656.56,1.29
2005,127773000.0,20.2818997821341,4831467035389.8,1.26
2006,127854000.0,20.9784589313141,4601663122649.92,1.32
2007,128001000.0,21.6266998258271,4579750920354.81,1.34
2008,128063000.0,22.2533796508458,5106679115127.3,1.37
2009,128047000.0,22.7624685083393,5289493117993.89,1.37
2010,128070000.0,23.0980258847984,5759071769013.11,1.39
2011,127833000.0,23.6527395093536,6233147172341.35,1.39
2012,127629000.0,24.5126783338024,6272362996105.03,1.41
2013,127445000.0,25.4120635790966,5212328181166.18,1.43
2014,127276000.0,26.2261883365166,4896994405353.29,1.42
2015,127141000.0,26.9230034152781,4444930651964.18,1.45
2016,127076000.0,27.5120281384821,5003677627544.24,1.44
2017,126972000.0,27.9778213758677,4930837369151.42,1.43
2018,126811000.0,28.3452163347643,5040880939324.86,1.42
2019,126633000.0,28.6287707536412,5117993853016.51,1.36
2020,126261000.0,28.9181743842737,5054068005376.28,1.33
2021,125681593.0,29.2169970691602,5039148168861.22,1.3
2022,125124989.0,29.4026473056942,4262463317796.53,1.26
2023,124516650.0,29.5618100807812,4213167237905.83,1.2
2024,123975371.0,29.7807703973917,4027597523550.58,1.2
